id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01JGYBVZ4T2R1M6Z1H0NEVTJG2,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.514617-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.514617-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:11.514617-05:00,01JGYBVZ23F8C5TATPK0AAVN0K,2025-01-06T12:51:11.514617-05:00
01JGYBVZ4T2R1M6Z1H110VDS58,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.514873-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.514873-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:11.514873-05:00,01JGYBVZ23F8C5TATPK0AAVN0K,2025-01-06T12:51:11.514873-05:00
01JGYBWHS4HGGX21504AXJMCS7,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:30.596996-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:30.596996-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:30.596996-05:00,01JGYBVZ23F8C5TATPKNNY5RYM,2025-01-06T12:51:30.596996-05:00
01JGYBWTFGBDJXD9CH07CHMD0C,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:39.504972-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:39.504972-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:39.504972-05:00,01JGYBVZ24QZ7C0WEJXEWA73XS,2025-01-06T12:51:39.504972-05:00
01JGYBX3B9Z4BWDT4FJ2SEMGQQ,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:48.585633-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:48.585633-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:48.585633-05:00,01JGYBVZ253R7056PKQ126AG8V,2025-01-06T12:51:48.585633-05:00
01JGYBX8GGN7RSMF5CQ9XYS5C8,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:53.872779-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:53.872779-05:00,01JGYBVXMF484ZN256JK4HQCMQ,2025-01-06T12:51:53.872779-05:00,01JGYBVZ26ETRDXCNN2YGZQB4G,2025-01-06T12:51:53.872779-05:00
01JGYBWHS4HGGX21503ZDEZ5PG,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:30.596886-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:30.596886-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:30.596886-05:00,01JGYBVZ23F8C5TATPKNNY5RYM,2025-01-06T12:51:30.596886-05:00
01JGYBWTFGBDJXD9CGZXS745C2,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:39.504845-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:39.504845-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:39.504845-05:00,01JGYBVZ24QZ7C0WEJXEWA73XS,2025-01-06T12:51:39.504845-05:00
01JGYBX3B9Z4BWDT4FHS0HK4WS,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:48.585533-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:48.585533-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:48.585533-05:00,01JGYBVZ253R7056PKQ126AG8V,2025-01-06T12:51:48.585533-05:00
01JGYBX8GGN7RSMF5CPZ5ET4YB,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:53.872659-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:53.872659-05:00,01JGYBVSSE4V98RXN29604S3DF,2025-01-06T12:51:53.872659-05:00,01JGYBVZ26ETRDXCNN2YGZQB4G,2025-01-06T12:51:53.872659-05:00
