id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JGYBVZ23F8C5TATPK0AAVN0K,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.427297-05:00,true,2025-01-06T12:51:30.588457-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.427297-05:00,0,2025-01-06T12:51:11.427297-05:00,Round 1,2025-01-06T12:51:11.427297-05:00,2,2025-01-06T12:51:11.439056-05:00,true,2025-01-06T12:51:11.47565-05:00,bargaining,2025-01-06T12:51:11.427297-05:00
01JGYBVZ23F8C5TATPKNNY5RYM,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.427455-05:00,true,2025-01-06T12:51:39.496599-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.427455-05:00,1,2025-01-06T12:51:11.427455-05:00,Round 2,2025-01-06T12:51:11.427455-05:00,2,2025-01-06T12:51:11.444546-05:00,true,2025-01-06T12:51:30.593291-05:00,bargaining,2025-01-06T12:51:11.427455-05:00
01JGYBVZ24QZ7C0WEJXEWA73XS,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.428275-05:00,true,2025-01-06T12:51:48.578825-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.428275-05:00,2,2025-01-06T12:51:11.428275-05:00,Round 3,2025-01-06T12:51:11.428275-05:00,2,2025-01-06T12:51:11.449784-05:00,true,2025-01-06T12:51:39.501556-05:00,bargaining,2025-01-06T12:51:11.428275-05:00
01JGYBVZ253R7056PKQ126AG8V,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.429565-05:00,true,2025-01-06T12:51:53.864942-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.429565-05:00,3,2025-01-06T12:51:11.429565-05:00,Round 4,2025-01-06T12:51:11.429565-05:00,2,2025-01-06T12:51:11.454531-05:00,true,2025-01-06T12:51:48.582902-05:00,bargaining,2025-01-06T12:51:11.429565-05:00
01JGYBVZ26ETRDXCNN2YGZQB4G,01JGYBVMGD9JE8AWN9163K05HV,2025-01-06T12:51:11.430424-05:00,true,2025-01-06T12:52:01.132106-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:11.430424-05:00,4,2025-01-06T12:51:11.430424-05:00,Round 5,2025-01-06T12:51:11.430424-05:00,2,2025-01-06T12:51:11.459199-05:00,true,2025-01-06T12:51:53.869919-05:00,bargaining,2025-01-06T12:51:11.430424-05:00
