id,batna,batnaLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,introDone,introDoneLastChangedAt,notification,notificationLastChangedAt,notifications,notificationsLastChangedAt,offers,offersLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JGYBVSSE4V98RXN29604S3DF,null,2025-01-06T12:51:39.508284-05:00,game ended,2025-01-06T12:52:01.142195-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:06.041838-05:00,true,2025-01-06T12:51:07.027677-05:00,null,2025-01-06T12:51:40.445602-05:00,[],2025-01-06T12:51:11.429899-05:00,[],2025-01-06T12:51:11.429899-05:00,01JGYBVSS0K3AT59MEBXVW707Q,2025-01-06T12:51:06.030791-05:00,urmi,2025-01-06T12:51:06.030791-05:00,NegotiatorA,2025-01-06T12:51:11.429899-05:00,6,2025-01-06T12:51:45.882961-05:00,"{""playerCount"":2}",2025-01-06T12:51:06.041838-05:00,Two Players,2025-01-06T12:51:06.041838-05:00,{},2025-01-06T12:51:06.046848-05:00
01JGYBVXMF484ZN256JK4HQCMQ,null,2025-01-06T12:51:39.508284-05:00,game ended,2025-01-06T12:52:01.142195-05:00,01JGYBVMH3396QEABN0ERKQ7EE,2025-01-06T12:51:09.977158-05:00,true,2025-01-06T12:51:11.399481-05:00,null,2025-01-06T12:51:39.5262-05:00,[],2025-01-06T12:51:11.429899-05:00,[],2025-01-06T12:51:11.429899-05:00,01JGYBVXM1Y7Z5RFZB1CQQM1JX,2025-01-06T12:51:09.968042-05:00,asif,2025-01-06T12:51:09.968042-05:00,NegotiatorB,2025-01-06T12:51:11.429899-05:00,6,2025-01-06T12:51:45.882961-05:00,"{""playerCount"":2}",2025-01-06T12:51:09.977158-05:00,Two Players,2025-01-06T12:51:09.977158-05:00,"{""participantKey"":""1736185087389""}",2025-01-06T12:51:09.9824-05:00
