id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JVMZGYJ85AM4Y1HBTW9BJ9SH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-05-19T15:14:57.736985-04:00,all games finished,2025-05-19T15:44:30.631628-04:00,true,2025-05-19T15:14:57.75845-04:00,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2025-05-19T15:14:57.736985-04:00,ended,2025-05-19T15:44:30.631628-04:00
01JVN0HG625XH382X4PTR2KFHP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-05-19T15:32:44.354102-04:00,all games finished,2025-05-19T15:50:36.258224-04:00,true,2025-05-19T15:32:44.367391-04:00,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2025-05-19T15:32:44.354102-04:00,ended,2025-05-19T15:50:36.258224-04:00
