id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JVC3T00XYFEBZ2D8JGNKZ7W2,01JVC3R6JDABC6Q4T4KJWDFD3T,2025-05-16T04:36:38.557969-04:00,120,2025-05-16T04:36:38.557969-04:00,true,2025-05-16T04:38:38.645731-04:00,01JVC3R6K06614Y63M7YNCEZTH,2025-05-16T04:36:38.557969-04:00,0,2025-05-16T04:36:38.557969-04:00,true,2025-05-16T04:36:38.637084-04:00,Negotiation,2025-05-16T04:36:38.557969-04:00,01JVC3T00NMQ98Z1R2GJ13T4QZ,2025-05-16T04:36:38.557969-04:00,true,2025-05-16T04:36:38.631124-04:00,true,2025-05-16T04:36:38.639388-04:00,01JVC3T00VYQ198476JBFKTKRX,2025-05-16T04:36:38.557969-04:00
01JVC3T012AR1RJ6E28CV9AENC,01JVC3R6JDABC6Q4T4KJWDFD3T,2025-05-16T04:36:38.562178-04:00,120,2025-05-16T04:36:38.562178-04:00,true,2025-05-16T04:40:38.686884-04:00,01JVC3R6K06614Y63M7YNCEZTH,2025-05-16T04:36:38.562178-04:00,0,2025-05-16T04:36:38.562178-04:00,true,2025-05-16T04:38:38.669192-04:00,Negotiation,2025-05-16T04:36:38.562178-04:00,01JVC3T00PMEBN2YBFNS7J28M5,2025-05-16T04:36:38.562178-04:00,true,2025-05-16T04:38:38.663727-04:00,true,2025-05-16T04:38:38.673455-04:00,01JVC3T010KRFBCB5THQQP1AF3,2025-05-16T04:36:38.562178-04:00
01JVC3T0160SJDBDBG5BH29GGM,01JVC3R6JDABC6Q4T4KJWDFD3T,2025-05-16T04:36:38.566048-04:00,120,2025-05-16T04:36:38.566048-04:00,true,2025-05-16T04:42:38.730082-04:00,01JVC3R6K06614Y63M7YNCEZTH,2025-05-16T04:36:38.566048-04:00,0,2025-05-16T04:36:38.566048-04:00,true,2025-05-16T04:40:38.717681-04:00,Negotiation,2025-05-16T04:36:38.566048-04:00,01JVC3T00PMEBN2YBFP7MGPSS9,2025-05-16T04:36:38.566048-04:00,true,2025-05-16T04:40:38.712879-04:00,true,2025-05-16T04:40:38.721973-04:00,01JVC3T01556459ARBJ586RPGY,2025-05-16T04:36:38.566048-04:00
01JVC3T019AX08NVG4K4C0R4BK,01JVC3R6JDABC6Q4T4KJWDFD3T,2025-05-16T04:36:38.56938-04:00,120,2025-05-16T04:36:38.56938-04:00,true,2025-05-16T04:44:38.79132-04:00,01JVC3R6K06614Y63M7YNCEZTH,2025-05-16T04:36:38.56938-04:00,0,2025-05-16T04:36:38.56938-04:00,true,2025-05-16T04:42:38.757166-04:00,Negotiation,2025-05-16T04:36:38.56938-04:00,01JVC3T00PMEBN2YBFQ70QKREV,2025-05-16T04:36:38.56938-04:00,true,2025-05-16T04:42:38.751189-04:00,true,2025-05-16T04:42:38.761209-04:00,01JVC3T018QXSZDQ4EN1PQWXNH,2025-05-16T04:36:38.56938-04:00
01JVC3T01CKQEFYVW2AY5JGHGQ,01JVC3R6JDABC6Q4T4KJWDFD3T,2025-05-16T04:36:38.572593-04:00,120,2025-05-16T04:36:38.572593-04:00,true,2025-05-16T04:46:38.842173-04:00,01JVC3R6K06614Y63M7YNCEZTH,2025-05-16T04:36:38.572593-04:00,0,2025-05-16T04:36:38.572593-04:00,true,2025-05-16T04:44:38.816672-04:00,Negotiation,2025-05-16T04:36:38.572593-04:00,01JVC3T00PMEBN2YBFPRW7QJBR,2025-05-16T04:36:38.572593-04:00,true,2025-05-16T04:44:38.811765-04:00,true,2025-05-16T04:44:38.821057-04:00,01JVC3T01BQWA9QW1M3SG74E4R,2025-05-16T04:36:38.572593-04:00
01JVC3T01FYVDHZ26JQPRK0EZ4,01JVC3R6JDABC6Q4T4KJWDFD3T,2025-05-16T04:36:38.575983-04:00,120,2025-05-16T04:36:38.575983-04:00,true,2025-05-16T04:48:38.885077-04:00,01JVC3R6K06614Y63M7YNCEZTH,2025-05-16T04:36:38.575983-04:00,0,2025-05-16T04:36:38.575983-04:00,true,2025-05-16T04:46:38.870304-04:00,Negotiation,2025-05-16T04:36:38.575983-04:00,01JVC3T00QSZ3VEFFA8BSMD3BH,2025-05-16T04:36:38.575983-04:00,true,2025-05-16T04:46:38.864787-04:00,true,2025-05-16T04:46:38.874944-04:00,01JVC3T01E17RV77VDJ3Q5Q4YB,2025-05-16T04:36:38.575983-04:00
