id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JVN8VJ35PJD341YQ0J66MCYY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-05-19T17:58:02.597913-04:00,all games finished,2025-05-19T18:10:38.391259-04:00,true,2025-05-19T17:58:02.615195-04:00,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2025-05-19T17:58:02.597913-04:00,ended,2025-05-19T18:10:38.391259-04:00
01JVN8Z88S67YAE05FDNQCM3KZ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-05-19T18:00:03.609369-04:00,all games finished,2025-05-19T18:12:57.058585-04:00,true,2025-05-19T18:00:03.624005-04:00,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2025-05-19T18:00:03.609369-04:00,ended,2025-05-19T18:12:57.058585-04:00
