id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JVD15ME4Z18YWY1T0ZD2HRNY,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.612486-04:00,120,2025-05-16T13:09:48.612486-04:00,true,2025-05-16T13:11:48.709926-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.612486-04:00,0,2025-05-16T13:09:48.612486-04:00,true,2025-05-16T13:09:48.69667-04:00,Negotiation,2025-05-16T13:09:48.612486-04:00,01JVD15MDVJB10JT8GB3HKWVJ5,2025-05-16T13:09:48.612486-04:00,true,2025-05-16T13:09:48.690661-04:00,true,2025-05-16T13:09:48.699023-04:00,01JVD15ME11JQZ3WJQC51DC7YC,2025-05-16T13:09:48.612486-04:00
01JVD15ME848784ZC1A0S9GSFP,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.616838-04:00,120,2025-05-16T13:09:48.616838-04:00,true,2025-05-16T13:13:48.75514-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.616838-04:00,0,2025-05-16T13:09:48.616838-04:00,true,2025-05-16T13:11:48.745474-04:00,Negotiation,2025-05-16T13:09:48.616838-04:00,01JVD15MDWA6GZB1H5CZYRJPR3,2025-05-16T13:09:48.616838-04:00,true,2025-05-16T13:11:48.738715-04:00,true,2025-05-16T13:11:48.7502-04:00,01JVD15ME7JZ4KFEA6T2EPQKWB,2025-05-16T13:09:48.616838-04:00
01JVD15MECWQ1K5S1WV1FCEPVG,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.62085-04:00,120,2025-05-16T13:09:48.62085-04:00,true,2025-05-16T13:15:48.80498-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.62085-04:00,0,2025-05-16T13:09:48.62085-04:00,true,2025-05-16T13:13:48.790933-04:00,Negotiation,2025-05-16T13:09:48.62085-04:00,01JVD15MDVJB10JT8GBGPR71V7,2025-05-16T13:09:48.62085-04:00,true,2025-05-16T13:13:48.776147-04:00,true,2025-05-16T13:13:48.795032-04:00,01JVD15MEBP0BR0WYPHAMG4GGV,2025-05-16T13:09:48.62085-04:00
01JVD15MEGTE7N9QXVBHWP2X2Z,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.624669-04:00,120,2025-05-16T13:09:48.624669-04:00,true,2025-05-16T13:17:48.844236-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.624669-04:00,0,2025-05-16T13:09:48.624669-04:00,true,2025-05-16T13:15:48.834006-04:00,Negotiation,2025-05-16T13:09:48.624669-04:00,01JVD15MDWA6GZB1H5DDJV6WHT,2025-05-16T13:09:48.624669-04:00,true,2025-05-16T13:15:48.828341-04:00,true,2025-05-16T13:15:48.838769-04:00,01JVD15MEFGTBFGCZXPWMS3H1K,2025-05-16T13:09:48.624669-04:00
01JVD15MEMRSCWCFEFBA87DEFA,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.628275-04:00,120,2025-05-16T13:09:48.628275-04:00,true,2025-05-16T13:19:48.885389-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.628275-04:00,0,2025-05-16T13:09:48.628275-04:00,true,2025-05-16T13:17:48.874629-04:00,Negotiation,2025-05-16T13:09:48.628275-04:00,01JVD15MDWA6GZB1H5E0KFMFB1,2025-05-16T13:09:48.628275-04:00,true,2025-05-16T13:17:48.868398-04:00,true,2025-05-16T13:17:48.879517-04:00,01JVD15MEKAJSDPNFMF9Y7T39R,2025-05-16T13:09:48.628275-04:00
01JVD15MEQE4DCQCNSXYMACHYA,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.63166-04:00,120,2025-05-16T13:09:48.63166-04:00,true,2025-05-16T13:21:48.926694-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.63166-04:00,0,2025-05-16T13:09:48.63166-04:00,true,2025-05-16T13:19:48.915829-04:00,Negotiation,2025-05-16T13:09:48.63166-04:00,01JVD15MDY4JMQ2T22J6EV8EB0,2025-05-16T13:09:48.63166-04:00,true,2025-05-16T13:19:48.91014-04:00,true,2025-05-16T13:19:48.920066-04:00,01JVD15MEP657C61RREJV3K4BP,2025-05-16T13:09:48.63166-04:00
