id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JVD15MDVJB10JT8GB3HKWVJ5,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.60321-04:00,true,2025-05-16T13:11:48.722186-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.60321-04:00,0,2025-05-16T13:09:48.60321-04:00,Round 1,2025-05-16T13:09:48.60321-04:00,1,2025-05-16T13:09:48.61368-04:00,true,2025-05-16T13:09:48.655412-04:00,bargaining,2025-05-16T13:09:48.60321-04:00
01JVD15MDVJB10JT8GBGPR71V7,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.603973-04:00,true,2025-05-16T13:15:48.811761-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.603973-04:00,2,2025-05-16T13:09:48.603973-04:00,Round 3,2025-05-16T13:09:48.603973-04:00,1,2025-05-16T13:09:48.622232-04:00,true,2025-05-16T13:13:48.767455-04:00,bargaining,2025-05-16T13:09:48.603973-04:00
01JVD15MDWA6GZB1H5CZYRJPR3,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.604124-04:00,true,2025-05-16T13:13:48.761545-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.604124-04:00,1,2025-05-16T13:09:48.604124-04:00,Round 2,2025-05-16T13:09:48.604124-04:00,1,2025-05-16T13:09:48.618-04:00,true,2025-05-16T13:11:48.72918-04:00,bargaining,2025-05-16T13:09:48.604124-04:00
01JVD15MDWA6GZB1H5DDJV6WHT,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.604894-04:00,true,2025-05-16T13:17:48.850331-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.604894-04:00,3,2025-05-16T13:09:48.604894-04:00,Round 4,2025-05-16T13:09:48.604894-04:00,1,2025-05-16T13:09:48.62584-04:00,true,2025-05-16T13:15:48.817791-04:00,bargaining,2025-05-16T13:09:48.604894-04:00
01JVD15MDWA6GZB1H5E0KFMFB1,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.605012-04:00,true,2025-05-16T13:19:48.893765-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.605012-04:00,4,2025-05-16T13:09:48.605012-04:00,Round 5,2025-05-16T13:09:48.605012-04:00,1,2025-05-16T13:09:48.629304-04:00,true,2025-05-16T13:17:48.857741-04:00,bargaining,2025-05-16T13:09:48.605012-04:00
01JVD15MDY4JMQ2T22J6EV8EB0,01JVD12DXJ9CQ00ETVCTCJ94FR,2025-05-16T13:09:48.606027-04:00,true,2025-05-16T13:21:48.934061-04:00,01JVD12DY2RC4DJA9B5W9QKYQB,2025-05-16T13:09:48.606027-04:00,5,2025-05-16T13:09:48.606027-04:00,Round 6,2025-05-16T13:09:48.606027-04:00,1,2025-05-16T13:09:48.632662-04:00,true,2025-05-16T13:19:48.899883-04:00,bargaining,2025-05-16T13:09:48.606027-04:00
