id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,issues,issuesLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,previousOffers,previousOffersLastChangedAt,roundIndex,roundIndexLastChangedAt,roundindex,roundindexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JVMZGYJYHNJ38YB871XB1K70,2,2025-05-19T15:32:30.268804-04:00,01JVMZGYJ85AM4Y1HBTW9BJ9SH,2025-05-19T15:14:57.758263-04:00,,,true,2025-05-19T15:44:30.624883-04:00,end of game,2025-05-19T15:44:30.629735-04:00,01JVMZGYKCHTHCPJXZG5JY4ZZG,2025-05-19T15:14:57.774367-04:00,"[{""name"":""salary"",""options"":[{""range"":[70000,80000],""valueA"":10,""valueB"":2},{""range"":[80001,90000],""valueA"":8,""valueB"":4},{""range"":[90001,100000],""valueA"":6,""valueB"":6},{""range"":[100001,110000],""valueA"":4,""valueB"":8},{""range"":[110001,120000],""valueA"":2,""valueB"":10}]},{""name"":""bonuses"",""options"":[{""range"":[0,5000],""valueA"":5,""valueB"":3},{""range"":[5001,10000],""valueA"":4,""valueB"":6},{""range"":[10001,15000],""valueA"":3,""valueB"":9},{""range"":[15001,20000],""valueA"":2,""valueB"":12},{""range"":[20001,25000],""valueA"":1,""valueB"":15}]},{""name"":""stockOptions"",""options"":[{""range"":[50000,60000],""valueA"":10,""valueB"":2},{""range"":[60001,70000],""valueA"":8,""valueB"":4},{""range"":[70001,80000],""valueA"":6,""valueB"":6},{""range"":[80001,90000],""valueA"":4,""valueB"":8},{""range"":[90001,100000],""valueA"":2,""valueB"":10}]},{""name"":""vacationDays"",""options"":[{""range"":[10,11],""valueA"":15,""valueB"":1},{""range"":[12,13],""valueA"":12,""valueB"":2},{""range"":[14,15],""valueA"":9,""valueB"":3},{""range"":[16,17],""valueA"":6,""valueB"":4},{""range"":[18,19],""valueA"":3,""valueB"":5}]}]",2025-05-19T15:32:30.292878-04:00,01JVN0GCGW75YBX6DTA3S0JWFV,2025-05-19T15:32:07.841959-04:00,"[{""round"":1},{""round"":2},{""round"":3},{""round"":4},{""round"":5},{""round"":6}]",2025-05-19T15:44:30.623166-04:00,5,2025-05-19T15:32:30.292878-04:00,6,2025-05-19T15:42:30.58891-04:00,null,2025-05-19T15:44:30.624883-04:00,true,2025-05-19T15:32:30.268804-04:00,true,2025-05-19T15:32:30.268804-04:00,ended,2025-05-19T15:44:30.629735-04:00,"{""playerCount"":2}",2025-05-19T15:14:57.758263-04:00,Two Players,2025-05-19T15:14:57.758263-04:00
01JVN0HG6F9FV33B7XAJZQDTRH,2,2025-05-19T15:38:51.184137-04:00,01JVN0HG625XH382X4PTR2KFHP,2025-05-19T15:32:44.367238-04:00,"[{""text"":""HII"",""sender"":{""id"":""01JVN0Q6YAZ41Q9MK1Q0SNZV36"",""name"":""01JVN0Q6YAZ41Q9MK1Q0SNZV36""}},{""text"":""WHAT"",""sender"":{""id"":""01JVN0W8YX15Y94JM3DY4BT6PW"",""name"":""01JVN0W8YX15Y94JM3DY4BT6PW""}}]",2025-05-19T15:39:33.58032-04:00,false,2025-05-19T15:32:44.367238-04:00,,,01JVN0HG6TJVAAQ3SZQ3X2M4QZ,2025-05-19T15:32:44.379575-04:00,"[{""name"":""salary"",""options"":[{""range"":[70000,80000],""valueA"":10,""valueB"":2},{""range"":[80001,90000],""valueA"":8,""valueB"":4},{""range"":[90001,100000],""valueA"":6,""valueB"":6},{""range"":[100001,110000],""valueA"":4,""valueB"":8},{""range"":[110001,120000],""valueA"":2,""valueB"":10}]},{""name"":""bonuses"",""options"":[{""range"":[0,5000],""valueA"":5,""valueB"":3},{""range"":[5001,10000],""valueA"":4,""valueB"":6},{""range"":[10001,15000],""valueA"":3,""valueB"":9},{""range"":[15001,20000],""valueA"":2,""valueB"":12},{""range"":[20001,25000],""valueA"":1,""valueB"":15}]},{""name"":""stockOptions"",""options"":[{""range"":[50000,60000],""valueA"":10,""valueB"":2},{""range"":[60001,70000],""valueA"":8,""valueB"":4},{""range"":[70001,80000],""valueA"":6,""valueB"":6},{""range"":[80001,90000],""valueA"":4,""valueB"":8},{""range"":[90001,100000],""valueA"":2,""valueB"":10}]},{""name"":""vacationDays"",""options"":[{""range"":[10,11],""valueA"":15,""valueB"":1},{""range"":[12,13],""valueA"":12,""valueB"":2},{""range"":[14,15],""valueA"":9,""valueB"":3},{""range"":[16,17],""valueA"":6,""valueB"":4},{""range"":[18,19],""valueA"":3,""valueB"":5}]}]",2025-05-19T15:38:51.20177-04:00,01JVN0QCAKDVAQM90WMHW80YT8,2025-05-19T15:35:57.014832-04:00,"[{""round"":1},{""round"":2},{""round"":3}]",2025-05-19T15:44:51.41043-04:00,5,2025-05-19T15:38:51.20177-04:00,4,2025-05-19T15:44:51.420767-04:00,01JVN0WPEJR1R210R7Z6HE5ZJB,2025-05-19T15:44:51.412451-04:00,true,2025-05-19T15:38:51.184137-04:00,true,2025-05-19T15:38:51.184137-04:00,running,2025-05-19T15:38:51.227031-04:00,"{""playerCount"":2}",2025-05-19T15:32:44.367238-04:00,Two Players,2025-05-19T15:32:44.367238-04:00
