id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JRCJJWPR6WDRMWC4WX22RCQG,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:07:48.952723-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:07:48.952723-04:00,01JRCJ4RC73K4DB1K9NQQYVTCK,2025-04-09T02:07:48.952723-04:00,01JRCJ8RYTZD5MMM3M6EMH5JDS,2025-04-09T02:07:48.952723-04:00,01JRCJ8RZCTZPYE9H5ADB4VGNM,2025-04-09T02:07:48.952723-04:00,,
01JRCJW1PZKV6CPF8107CYHKKS,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:12:48.991014-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:12:48.991014-04:00,01JRCJ4GFBJC6TJWZDBNK1B69Z,2025-04-09T02:12:48.991014-04:00,01JRCJ8RYTZD5MMM3M6Y157NWJ,2025-04-09T02:12:48.991014-04:00,01JRCJ8RZGR7TH9VQ4QN7R422C,2025-04-09T02:12:48.991014-04:00,,
01JRCJW1PZKV6CPF810H4DP65T,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:12:48.991133-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:12:48.991133-04:00,01JRCJ4RC73K4DB1K9NQQYVTCK,2025-04-09T02:12:48.991133-04:00,01JRCJ8RYTZD5MMM3M6Y157NWJ,2025-04-09T02:12:48.991133-04:00,01JRCJ8RZGR7TH9VQ4QN7R422C,2025-04-09T02:12:48.991133-04:00,,
01JRCKEBQTYS5TPJ8X2FWBZYGW,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:22:49.082444-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:22:49.082444-04:00,01JRCJ4GFBJC6TJWZDBNK1B69Z,2025-04-09T02:22:49.082444-04:00,01JRCJ8RYWCNKMRSKYX1QM5XSA,2025-04-09T02:22:49.082444-04:00,01JRCJ8RZQGN5G9H4X9B355CQN,2025-04-09T02:22:49.082444-04:00,,
01JRCKEBQTYS5TPJ8X2W93YTP0,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:22:49.082582-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:22:49.082582-04:00,01JRCJ4RC73K4DB1K9NQQYVTCK,2025-04-09T02:22:49.082582-04:00,01JRCJ8RYWCNKMRSKYX1QM5XSA,2025-04-09T02:22:49.082582-04:00,01JRCJ8RZQGN5G9H4X9B355CQN,2025-04-09T02:22:49.082582-04:00,,
01JRCJ8S1WTKXFXFJPNXG8FP0T,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:02:17.532706-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:02:17.532706-04:00,01JRCJ4RC73K4DB1K9NQQYVTCK,2025-04-09T02:02:17.532706-04:00,01JRCJ8RYSHG7Q31QV5RT700GA,2025-04-09T02:02:17.532706-04:00,01JRCJ8RZ3E9108TG8HR36NRM8,2025-04-09T02:02:17.532706-04:00,true,2025-04-09T02:02:48.872119-04:00
01JRCJ8S1WTKXFXFJPPAE1D9B5,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:02:17.532815-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:02:17.532815-04:00,01JRCJ4GFBJC6TJWZDBNK1B69Z,2025-04-09T02:02:17.532815-04:00,01JRCJ8RYSHG7Q31QV5RT700GA,2025-04-09T02:02:17.532815-04:00,01JRCJ8RZ3E9108TG8HR36NRM8,2025-04-09T02:02:17.532815-04:00,true,2025-04-09T02:02:36.67531-04:00
01JRCJ9QPD43QE8D4CPBR45FDS,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:02:48.909794-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:02:48.909794-04:00,01JRCJ4GFBJC6TJWZDBNK1B69Z,2025-04-09T02:02:48.909794-04:00,01JRCJ8RYTZD5MMM3M62G9YRG0,2025-04-09T02:02:48.909794-04:00,01JRCJ8RZ8CYNZWJQTS91E509H,2025-04-09T02:02:48.909794-04:00,,
01JRCJ9QPD43QE8D4CPNMQ4BJ5,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:02:48.909915-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:02:48.909915-04:00,01JRCJ4RC73K4DB1K9NQQYVTCK,2025-04-09T02:02:48.909915-04:00,01JRCJ8RYTZD5MMM3M62G9YRG0,2025-04-09T02:02:48.909915-04:00,01JRCJ8RZ8CYNZWJQTS91E509H,2025-04-09T02:02:48.909915-04:00,,
01JRCJJWPR6WDRMWC4WFV4KK7H,01JRCJ3YXE1JGWNQ2ES3ZPSGGD,2025-04-09T02:07:48.952637-04:00,01JRCJ3YY04MXWBC404ZVX9FQE,2025-04-09T02:07:48.952637-04:00,01JRCJ4GFBJC6TJWZDBNK1B69Z,2025-04-09T02:07:48.952637-04:00,01JRCJ8RYTZD5MMM3M6EMH5JDS,2025-04-09T02:07:48.952637-04:00,01JRCJ8RZCTZPYE9H5ADB4VGNM,2025-04-09T02:07:48.952637-04:00,,
