id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JVNZ57YKYZJA87FA6BV4N3MN,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.563962-04:00,120,2025-05-20T00:27:48.563962-04:00,true,2025-05-20T00:33:48.736534-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.563962-04:00,0,2025-05-20T00:27:48.563962-04:00,true,2025-05-20T00:31:48.72285-04:00,Negotiation,2025-05-20T00:27:48.563962-04:00,01JVNZ57Y42KAQPN3788FFFEV8,2025-05-20T00:27:48.563962-04:00,true,2025-05-20T00:31:48.716577-04:00,true,2025-05-20T00:31:48.726722-04:00,01JVNZ57YKYZJA87FA6992P7J9,2025-05-20T00:27:48.563962-04:00
01JVNZ57YR2RZ95Z6F7JBZT64J,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.568258-04:00,120,2025-05-20T00:27:48.568258-04:00,true,2025-05-20T00:35:48.786055-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.568258-04:00,0,2025-05-20T00:27:48.568258-04:00,true,2025-05-20T00:33:48.768716-04:00,Negotiation,2025-05-20T00:27:48.568258-04:00,01JVNZ57Y500AABPX3XYWEGJ83,2025-05-20T00:27:48.568258-04:00,true,2025-05-20T00:33:48.763239-04:00,true,2025-05-20T00:33:48.776939-04:00,01JVNZ57YQ59704TK8NRAZGAKT,2025-05-20T00:27:48.568258-04:00
01JVNZ6VD1ZE4XYJQTNYDGWRMG,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.249972-04:00,120,2025-05-20T00:28:41.249972-04:00,true,2025-05-20T00:38:41.47882-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.249972-04:00,0,2025-05-20T00:28:41.249972-04:00,true,2025-05-20T00:36:41.467186-04:00,Negotiation,2025-05-20T00:28:41.249972-04:00,01JVNZ6VCF5RFVSJSAW01FRA3C,2025-05-20T00:28:41.249972-04:00,true,2025-05-20T00:36:41.462645-04:00,true,2025-05-20T00:36:41.471207-04:00,01JVNZ6VD0KT2T3JRENZKQ272G,2025-05-20T00:28:41.249972-04:00
01JVNZ6VD4GVB8NCJZBQ0ACBJ7,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.252608-04:00,120,2025-05-20T00:28:41.252608-04:00,true,2025-05-20T00:40:41.521141-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.252608-04:00,0,2025-05-20T00:28:41.252608-04:00,true,2025-05-20T00:38:41.508951-04:00,Negotiation,2025-05-20T00:28:41.252608-04:00,01JVNZ6VCF5RFVSJSAWFPSGAV9,2025-05-20T00:28:41.252608-04:00,true,2025-05-20T00:38:41.504129-04:00,true,2025-05-20T00:38:41.513425-04:00,01JVNZ6VD3W9ZXG35T9584P52C,2025-05-20T00:28:41.252608-04:00
01JVNZ6VCZFK5G4851KCQG2XEV,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.247044-04:00,120,2025-05-20T00:28:41.247044-04:00,true,2025-05-20T00:36:41.435695-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.247044-04:00,0,2025-05-20T00:28:41.247044-04:00,true,2025-05-20T00:34:41.423744-04:00,Negotiation,2025-05-20T00:28:41.247044-04:00,01JVNZ6VCF5RFVSJSAWZ3NYK8R,2025-05-20T00:28:41.247044-04:00,true,2025-05-20T00:34:41.419128-04:00,true,2025-05-20T00:34:41.427948-04:00,01JVNZ6VCYZ6XZ270KX99Z2NR8,2025-05-20T00:28:41.247044-04:00
01JVNZ57YCSCBE9BWS5YAPWRB5,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.556569-04:00,120,2025-05-20T00:27:48.556569-04:00,true,2025-05-20T00:29:48.646696-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.556569-04:00,0,2025-05-20T00:27:48.556569-04:00,true,2025-05-20T00:27:48.632371-04:00,Negotiation,2025-05-20T00:27:48.556569-04:00,01JVNZ57Y351ZHDS5XH088H2JT,2025-05-20T00:27:48.556569-04:00,true,2025-05-20T00:27:48.626326-04:00,true,2025-05-20T00:27:48.635459-04:00,01JVNZ57YAEF90F793N3EZAP90,2025-05-20T00:27:48.556569-04:00
01JVNZ57YGJCZRFFAAWMHXJHHK,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.560721-04:00,120,2025-05-20T00:27:48.560721-04:00,true,2025-05-20T00:31:48.693141-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.560721-04:00,0,2025-05-20T00:27:48.560721-04:00,true,2025-05-20T00:29:48.678815-04:00,Negotiation,2025-05-20T00:27:48.560721-04:00,01JVNZ57Y42KAQPN377JZN49AF,2025-05-20T00:27:48.560721-04:00,true,2025-05-20T00:29:48.673063-04:00,true,2025-05-20T00:29:48.68305-04:00,01JVNZ57YFVK66831DZK5NPQZQ,2025-05-20T00:27:48.560721-04:00
01JVNZ57YVFGB16EB2CAC62J6T,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.571236-04:00,120,2025-05-20T00:27:48.571236-04:00,true,2025-05-20T00:37:48.828997-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.571236-04:00,0,2025-05-20T00:27:48.571236-04:00,true,2025-05-20T00:35:48.814577-04:00,Negotiation,2025-05-20T00:27:48.571236-04:00,01JVNZ57Y6Q1QN6BS5QR2SQAH7,2025-05-20T00:27:48.571236-04:00,true,2025-05-20T00:35:48.809936-04:00,true,2025-05-20T00:35:48.819386-04:00,01JVNZ57YTSMBYZTWWV7YT6C5Y,2025-05-20T00:27:48.571236-04:00
01JVNZ57YYK4X7YJX9Y5E2K3XC,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.574184-04:00,120,2025-05-20T00:27:48.574184-04:00,true,2025-05-20T00:39:48.876966-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.574184-04:00,0,2025-05-20T00:27:48.574184-04:00,true,2025-05-20T00:37:48.859658-04:00,Negotiation,2025-05-20T00:27:48.574184-04:00,01JVNZ57Y7Y6DSCA97GVY8T5M2,2025-05-20T00:27:48.574184-04:00,true,2025-05-20T00:37:48.854865-04:00,true,2025-05-20T00:37:48.863813-04:00,01JVNZ57YXYNP1B8HZFK7ZQPMR,2025-05-20T00:27:48.574184-04:00
01JVNZ6VCMZ4Y0QE28G584904Y,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.236208-04:00,120,2025-05-20T00:28:41.236208-04:00,true,2025-05-20T00:30:41.317428-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.236208-04:00,0,2025-05-20T00:28:41.236208-04:00,true,2025-05-20T00:28:41.307132-04:00,Negotiation,2025-05-20T00:28:41.236208-04:00,01JVNZ6VCDJSWMA1WSNRN9M3FR,2025-05-20T00:28:41.236208-04:00,true,2025-05-20T00:28:41.30172-04:00,true,2025-05-20T00:28:41.309394-04:00,01JVNZ6VCJJR8G5S9G312M2PVD,2025-05-20T00:28:41.236208-04:00
01JVNZ6VCR4QDVVEZE98KCTKRF,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.240344-04:00,120,2025-05-20T00:28:41.240344-04:00,true,2025-05-20T00:32:41.356331-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.240344-04:00,0,2025-05-20T00:28:41.240344-04:00,true,2025-05-20T00:30:41.346968-04:00,Negotiation,2025-05-20T00:28:41.240344-04:00,01JVNZ6VCF5RFVSJSAVG58SAVG,2025-05-20T00:28:41.240344-04:00,true,2025-05-20T00:30:41.342266-04:00,true,2025-05-20T00:30:41.350822-04:00,01JVNZ6VCQGK2T31WDF753V40E,2025-05-20T00:28:41.240344-04:00
01JVNZ6VCVPD62RCNPSJKSQ6YV,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.243515-04:00,120,2025-05-20T00:28:41.243515-04:00,true,2025-05-20T00:34:41.395041-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.243515-04:00,0,2025-05-20T00:28:41.243515-04:00,true,2025-05-20T00:32:41.380511-04:00,Negotiation,2025-05-20T00:28:41.243515-04:00,01JVNZ6VCF5RFVSJSATZ4WMPDS,2025-05-20T00:28:41.243515-04:00,true,2025-05-20T00:32:41.376244-04:00,true,2025-05-20T00:32:41.384248-04:00,01JVNZ6VCT8EGAKYRPRR7ZFYXK,2025-05-20T00:28:41.243515-04:00
