id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01JVNZ6VEJQG3383Z2VMXBT2FQ,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:28:41.29825-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:28:41.29825-04:00,01JVNZ6CX771337XCWW1B9TKD9,2025-05-20T00:28:41.29825-04:00,01JVNZ6VCDJSWMA1WSNRN9M3FR,2025-05-20T00:28:41.29825-04:00
01JVNZ8X7VAXHZFWFA6P6AHETA,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:29:48.667448-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:29:48.667448-04:00,01JVNZ3XG17A07CTY7X673KPZ7,2025-05-20T00:29:48.667448-04:00,01JVNZ57Y42KAQPN377JZN49AF,2025-05-20T00:29:48.667448-04:00
01JVNZ8X7VAXHZFWFA6YH80B5S,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:29:48.667583-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:29:48.667583-04:00,01JVNZ51XVEPEBFP1M55VZW7GK,2025-05-20T00:29:48.667583-04:00,01JVNZ57Y42KAQPN377JZN49AF,2025-05-20T00:29:48.667583-04:00
01JVNZKWY4KBMQSHJHQ6TQZGDF,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:35:48.804851-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:35:48.804851-04:00,01JVNZ3XG17A07CTY7X673KPZ7,2025-05-20T00:35:48.804851-04:00,01JVNZ57Y6Q1QN6BS5QR2SQAH7,2025-05-20T00:35:48.804851-04:00
01JVNZ580ED8F66BQ8C04PZWBP,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:27:48.622933-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:27:48.622933-04:00,01JVNZ3XG17A07CTY7X673KPZ7,2025-05-20T00:27:48.622933-04:00,01JVNZ57Y351ZHDS5XH088H2JT,2025-05-20T00:27:48.622933-04:00
01JVNZAGNRVDJMDH03Y2S3DM48,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:30:41.336676-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:30:41.336676-04:00,01JVNZ6CX771337XCWW1B9TKD9,2025-05-20T00:30:41.336676-04:00,01JVNZ6VCF5RFVSJSAVG58SAVG,2025-05-20T00:30:41.336676-04:00
01JVNZAGNRVDJMDH03YDN9DFYJ,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:30:41.336803-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:30:41.336803-04:00,01JVNZ6P2KNEH4V18GVYS56S5E,2025-05-20T00:30:41.336803-04:00,01JVNZ6VCF5RFVSJSAVG58SAVG,2025-05-20T00:30:41.336803-04:00
01JVNZCJF763R6QWY6V0WT5MT9,01JVNZ3CGSATJ9XWNQ9NAGHBVM,2025-05-20T00:31:48.711915-04:00,01JVNZ3CHAPGQ82B92JVMGK4AX,2025-05-20T00:31:48.711915-04:00,01JVNZ51XVEPEBFP1M55VZW7GK,2025-05-20T00:31:48.711915-04:00,01JVNZ57Y42KAQPN3788FFFEV8,2025-05-20T00:31:48.711915-04:00
01JVNZE5WVZM1J82AKG4267WJA,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:32:41.371317-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:32:41.371317-04:00,01JVNZ6CX771337XCWW1B9TKD9,2025-05-20T00:32:41.371317-04:00,01JVNZ6VCF5RFVSJSATZ4WMPDS,2025-05-20T00:32:41.371317-04:00
01JVNZE5WVZM1J82AKGHS20M47,01JVNZ3HYVZ51SK1T4JY3ETW60,2025-05-20T00:32:41.371427-04:00,01JVNZ3HZB4AW5ZCPERFP3TTCS,2025-05-20T00:32:41.371427-04:00,01JVNZ6P2KNEH4V18GVYS56S5E,2025-05-20T00:32:41.371427-04:00,01JVNZ6VCF5RFVSJSATZ4WMPDS,2025-05-20T00:32:41.371427-04:00
