id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,offers,offersLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,submit,submitLastChangedAt,timerID,timerIDLastChangedAt
01JVBYMQJPX1WB8P5CRNSYMHA9,01JVBYJZQEBAR725R6N4VES5WD,2025-05-16T03:06:23.19056-04:00,120,2025-05-16T03:06:23.19056-04:00,true,2025-05-16T03:12:06.578701-04:00,,,01JVBYJZR0AX1BV8B9DAB4H8KC,2025-05-16T03:06:23.19056-04:00,0,2025-05-16T03:06:23.19056-04:00,true,2025-05-16T03:10:06.562452-04:00,Negotiation,2025-05-16T03:06:23.19056-04:00,,,01JVBYMQJ6EB5GZJY5MSAWTN9R,2025-05-16T03:06:23.19056-04:00,true,2025-05-16T03:10:06.558747-04:00,true,2025-05-16T03:10:06.566015-04:00,,,,,01JVBYMQJNFGT6X06MQ5QCBH1X,2025-05-16T03:06:23.19056-04:00
01JVBYMQJSGJC53ND2PNQ2FCPM,01JVBYJZQEBAR725R6N4VES5WD,2025-05-16T03:06:23.193751-04:00,120,2025-05-16T03:06:23.193751-04:00,true,2025-05-16T03:14:06.627813-04:00,,,01JVBYJZR0AX1BV8B9DAB4H8KC,2025-05-16T03:06:23.193751-04:00,0,2025-05-16T03:06:23.193751-04:00,true,2025-05-16T03:12:06.608481-04:00,Negotiation,2025-05-16T03:06:23.193751-04:00,,,01JVBYMQJ7KZ4MYQW6SZHC73DH,2025-05-16T03:06:23.193751-04:00,true,2025-05-16T03:12:06.602125-04:00,true,2025-05-16T03:12:06.61294-04:00,,,,,01JVBYMQJRMY077Q9SPQQTE4SF,2025-05-16T03:06:23.193751-04:00
01JVBYMQJX1TDBN0RCZB00G7NF,01JVBYJZQEBAR725R6N4VES5WD,2025-05-16T03:06:23.197316-04:00,120,2025-05-16T03:06:23.197316-04:00,true,2025-05-16T03:16:06.675505-04:00,,,01JVBYJZR0AX1BV8B9DAB4H8KC,2025-05-16T03:06:23.197316-04:00,0,2025-05-16T03:06:23.197316-04:00,true,2025-05-16T03:14:06.65642-04:00,Negotiation,2025-05-16T03:06:23.197316-04:00,,,01JVBYMQJ96777RBY2WS4VM1JZ,2025-05-16T03:06:23.197316-04:00,true,2025-05-16T03:14:06.650993-04:00,true,2025-05-16T03:14:06.660432-04:00,,,,,01JVBYMQJWT2EVC5GK9X94TXMG,2025-05-16T03:06:23.197316-04:00
01JVBYMQK0MK0CE6V3774GTKM9,01JVBYJZQEBAR725R6N4VES5WD,2025-05-16T03:06:23.200604-04:00,120,2025-05-16T03:06:23.200604-04:00,true,2025-05-16T03:17:51.112845-04:00,null,2025-05-16T03:17:51.112845-04:00,01JVBYJZR0AX1BV8B9DAB4H8KC,2025-05-16T03:06:23.200604-04:00,0,2025-05-16T03:06:23.200604-04:00,true,2025-05-16T03:16:06.706202-04:00,Negotiation,2025-05-16T03:06:23.200604-04:00,"{""Hr"":{""salary"":100000,""bonuses"":10000,""stockOptions"":70000,""vacationDays"":13},""Employee"":{""salary"":100000,""bonuses"":10000,""stockOptions"":70000,""vacationDays"":13}}",2025-05-16T03:17:50.889461-04:00,01JVBYMQJ96777RBY2WE88PWMX,2025-05-16T03:06:23.200604-04:00,true,2025-05-16T03:16:06.70093-04:00,true,2025-05-16T03:16:06.710708-04:00,null,2025-05-16T03:17:51.112845-04:00,true,2025-05-16T03:17:51.119435-04:00,01JVBYMQJZK054PCWGYZDRD9N7,2025-05-16T03:06:23.200604-04:00
01JVBYMQJFNKQ2PAWEYX8R864W,01JVBYJZQEBAR725R6N4VES5WD,2025-05-16T03:06:23.183105-04:00,120,2025-05-16T03:06:23.183105-04:00,true,2025-05-16T03:08:23.282624-04:00,,,01JVBYJZR0AX1BV8B9DAB4H8KC,2025-05-16T03:06:23.183105-04:00,0,2025-05-16T03:06:23.183105-04:00,true,2025-05-16T03:06:23.266636-04:00,Negotiation,2025-05-16T03:06:23.183105-04:00,,,01JVBYMQJ5DPVE2TRYPR34RWEQ,2025-05-16T03:06:23.183105-04:00,true,2025-05-16T03:06:23.258095-04:00,true,2025-05-16T03:06:23.26922-04:00,,,,,01JVBYMQJDG08FH8AFNE07DC9N,2025-05-16T03:06:23.183105-04:00
01JVBYMQJK11TJN8N8WZ7BSDSC,01JVBYJZQEBAR725R6N4VES5WD,2025-05-16T03:06:23.187092-04:00,120,2025-05-16T03:06:23.187092-04:00,true,2025-05-16T03:10:06.546843-04:00,null,2025-05-16T03:10:06.546843-04:00,01JVBYJZR0AX1BV8B9DAB4H8KC,2025-05-16T03:06:23.187092-04:00,0,2025-05-16T03:06:23.187092-04:00,true,2025-05-16T03:08:23.319413-04:00,Negotiation,2025-05-16T03:06:23.187092-04:00,"{""Employee"":{""salary"":100000,""bonuses"":20000,""stockOptions"":90000,""vacationDays"":13},""Hr"":{""salary"":90000,""bonuses"":10000,""stockOptions"":70000,""vacationDays"":12}}",2025-05-16T03:10:06.393579-04:00,01JVBYMQJ6EB5GZJY5M90TP7Q5,2025-05-16T03:06:23.187092-04:00,true,2025-05-16T03:08:23.313152-04:00,true,2025-05-16T03:08:23.322826-04:00,null,2025-05-16T03:10:06.546843-04:00,,,01JVBYMQJH9T736XKAFXXKN7GV,2025-05-16T03:06:23.187092-04:00
