id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,offers,offersLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JN0B6S7J78DJSFNA6XF5GRFM,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.490128-05:00,300,2025-02-26T00:20:53.490128-05:00,true,2025-02-26T00:28:18.819487-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.490128-05:00,0,2025-02-26T00:20:53.490128-05:00,true,2025-02-26T00:23:18.807812-05:00,bar,2025-02-26T00:20:53.490128-05:00,,,01JN0B6S70HKSZB9HQ7MQYC5Z3,2025-02-26T00:20:53.490128-05:00,true,2025-02-26T00:23:18.80214-05:00,true,2025-02-26T00:23:18.81218-05:00,01JN0B6S7FPF3K1A1T164MRW1D,2025-02-26T00:20:53.490128-05:00
01JN0B6S7J78DJSFNA7HYK4NJZ,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.490223-05:00,60,2025-02-26T00:20:53.490223-05:00,true,2025-02-26T00:29:18.848856-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.490223-05:00,1,2025-02-26T00:20:53.490223-05:00,true,2025-02-26T00:28:18.836448-05:00,result,2025-02-26T00:20:53.490223-05:00,,,01JN0B6S70HKSZB9HQ7MQYC5Z3,2025-02-26T00:20:53.490223-05:00,true,2025-02-26T00:28:18.82907-05:00,true,2025-02-26T00:28:18.842188-05:00,01JN0B6S7GPK46PKS65NAPDEW5,2025-02-26T00:20:53.490223-05:00
01JN0B6S7P28G5D9E01CT61WPQ,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.494654-05:00,300,2025-02-26T00:20:53.494654-05:00,true,2025-02-26T00:34:18.890443-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.494654-05:00,0,2025-02-26T00:20:53.494654-05:00,true,2025-02-26T00:29:18.878079-05:00,bar,2025-02-26T00:20:53.494654-05:00,,,01JN0B6S70HKSZB9HQ73FKCEYD,2025-02-26T00:20:53.494654-05:00,true,2025-02-26T00:29:18.87311-05:00,true,2025-02-26T00:29:18.881784-05:00,01JN0B6S7MET6FEPYHDQHXVBRK,2025-02-26T00:20:53.494654-05:00
01JN0B6S7V1VKMPCRDBQNZT8DD,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.499614-05:00,300,2025-02-26T00:20:53.499614-05:00,true,2025-02-26T00:36:19.894801-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.499614-05:00,0,2025-02-26T00:20:53.499614-05:00,true,2025-02-26T00:35:18.950092-05:00,bar,2025-02-26T00:20:53.499614-05:00,"{""Employee"":{},""Hr"":{}}",2025-02-26T00:36:19.882085-05:00,01JN0B6S70HKSZB9HQ866S9MB4,2025-02-26T00:20:53.499614-05:00,true,2025-02-26T00:35:18.944871-05:00,true,2025-02-26T00:35:18.953867-05:00,01JN0B6S7S8PXZCZJ58WXCQ45V,2025-02-26T00:20:53.499614-05:00
01JN0B6S7V1VKMPCRDCAGJMKGW,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.499706-05:00,60,2025-02-26T00:20:53.499706-05:00,true,2025-02-26T00:36:40.315551-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.499706-05:00,1,2025-02-26T00:20:53.499706-05:00,true,2025-02-26T00:36:19.909596-05:00,result,2025-02-26T00:20:53.499706-05:00,,,01JN0B6S70HKSZB9HQ866S9MB4,2025-02-26T00:20:53.499706-05:00,true,2025-02-26T00:36:19.903836-05:00,true,2025-02-26T00:36:19.914918-05:00,01JN0B6S7TFGPSD0KVDWMRW906,2025-02-26T00:20:53.499706-05:00
01JN0B6S77BPR9CK2KYK3GDAVQ,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.479626-05:00,300,2025-02-26T00:20:53.479626-05:00,true,2025-02-26T00:21:28.239329-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.479626-05:00,0,2025-02-26T00:20:53.479626-05:00,true,2025-02-26T00:20:53.580813-05:00,bar,2025-02-26T00:20:53.479626-05:00,"{""Employee"":{},""Hr"":{}}",2025-02-26T00:21:28.227505-05:00,01JN0B6S6YDAS0FTZ8QRKBATZ9,2025-02-26T00:20:53.479626-05:00,true,2025-02-26T00:20:53.574607-05:00,true,2025-02-26T00:20:53.58271-05:00,01JN0B6S749QAYQKDE007A7GQR,2025-02-26T00:20:53.479626-05:00
01JN0B6S77BPR9CK2KZ31NVTT0,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.479739-05:00,60,2025-02-26T00:20:53.479739-05:00,true,2025-02-26T00:22:05.865895-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.479739-05:00,1,2025-02-26T00:20:53.479739-05:00,true,2025-02-26T00:21:28.254955-05:00,result,2025-02-26T00:20:53.479739-05:00,,,01JN0B6S6YDAS0FTZ8QRKBATZ9,2025-02-26T00:20:53.479739-05:00,true,2025-02-26T00:21:28.247673-05:00,true,2025-02-26T00:21:28.260259-05:00,01JN0B6S756J77B3YH3QWEGCTX,2025-02-26T00:20:53.479739-05:00
01JN0B6S7DZ480CE842BDQAPV0,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.485134-05:00,60,2025-02-26T00:20:53.485134-05:00,true,2025-02-26T00:23:18.776773-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.485134-05:00,1,2025-02-26T00:20:53.485134-05:00,true,2025-02-26T00:22:18.765267-05:00,result,2025-02-26T00:20:53.485134-05:00,,,01JN0B6S6YDAS0FTZ8R1MFT0AY,2025-02-26T00:20:53.485134-05:00,true,2025-02-26T00:22:18.758357-05:00,true,2025-02-26T00:22:18.770767-05:00,01JN0B6S7BMV2MH43BFV39YG9F,2025-02-26T00:20:53.485134-05:00
01JN0B6S7ZJ2C8TJWR2AV4M98Q,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.503731-05:00,60,2025-02-26T00:20:53.503731-05:00,true,2025-02-26T00:37:02.56136-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.503731-05:00,1,2025-02-26T00:20:53.503731-05:00,true,2025-02-26T00:36:56.29053-05:00,result,2025-02-26T00:20:53.503731-05:00,,,01JN0B6S71JKYP8EZZKE267S48,2025-02-26T00:20:53.503731-05:00,true,2025-02-26T00:36:56.284525-05:00,true,2025-02-26T00:36:56.296102-05:00,01JN0B6S7Y5ANVXNBYSX35ZZKJ,2025-02-26T00:20:53.503731-05:00
01JN0B6S7DZ480CE841S9MT90T,01JN0B6JFGPSWQTZ19W57Q28C6,2025-02-26T00:20:53.485033-05:00,300,2025-02-26T00:20:53.485033-05:00,true,2025-02-26T00:22:18.751488-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.485033-05:00,0,2025-02-26T00:20:53.485033-05:00,true,2025-02-26T00:22:05.896057-05:00,bar,2025-02-26T00:20:53.485033-05:00,"{""Hr"":{},""Employee"":{}}",2025-02-26T00:22:18.739507-05:00,01JN0B6S6YDAS0FTZ8R1MFT0AY,2025-02-26T00:20:53.485033-05:00,true,2025-02-26T00:22:05.891594-05:00,true,2025-02-26T00:22:05.900075-05:00,01JN0B6S7A7JB6WM4CTJH7XPEP,2025-02-26T00:20:53.485033-05:00
