id,batna,batnaLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,initialBatna,initialBatnaLastChangedAt,introDone,introDoneLastChangedAt,notification,notificationLastChangedAt,notifications,notificationsLastChangedAt,offers,offersLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JN0B6P79TEMD3DFZZAZJ8EJT,23,2025-02-26T00:35:18.943251-05:00,game ended,2025-02-26T00:37:02.579441-05:00,true,2025-02-26T00:37:04.284825-05:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2025-02-26T00:37:04.284104-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:50.42073-05:00,23,2025-02-26T00:36:19.899191-05:00,true,2025-02-26T00:20:51.320403-05:00,null,2025-02-26T00:35:18.973924-05:00,[],2025-02-26T00:20:53.473297-05:00,[],2025-02-26T00:20:53.473297-05:00,01JN0B6P6RZDWS3NB9394F0H5K,2025-02-26T00:20:50.409245-05:00,a1,2025-02-26T00:20:50.409245-05:00,Hr,2025-02-26T00:20:53.473297-05:00,0,2025-02-26T00:20:53.473297-05:00,"{""playerCount"":2}",2025-02-26T00:20:50.42073-05:00,Two Players,2025-02-26T00:20:50.42073-05:00,{},2025-02-26T00:20:50.427196-05:00
01JN0B6RX1J3EK28BV4WGWSV9P,23,2025-02-26T00:35:18.943251-05:00,game ended,2025-02-26T00:37:02.579441-05:00,true,2025-02-26T00:37:07.243043-05:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2025-02-26T00:37:07.244095-05:00,01JN0B6JG5M9M3EB8ENJD0746Z,2025-02-26T00:20:53.161902-05:00,23,2025-02-26T00:36:19.899191-05:00,true,2025-02-26T00:20:53.44378-05:00,null,2025-02-26T00:35:18.968888-05:00,[],2025-02-26T00:20:53.473297-05:00,[],2025-02-26T00:20:53.473297-05:00,01JN0B6RWM4W7K64ZWKP55FCR3,2025-02-26T00:20:53.153679-05:00,a2,2025-02-26T00:20:53.153679-05:00,Employee,2025-02-26T00:20:53.473297-05:00,0,2025-02-26T00:20:53.473297-05:00,"{""playerCount"":2}",2025-02-26T00:20:53.161902-05:00,Two Players,2025-02-26T00:20:53.161902-05:00,"{""participantKey"":""1740540518128""}",2025-02-26T00:20:53.167441-05:00
