id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JVC02FQYKBPD23WTQHSCR22C,01JVC00R1NFWVNPFH69VHEQFNS,2025-05-16T03:31:22.494246-04:00,120,2025-05-16T03:31:22.494246-04:00,true,2025-05-16T03:33:22.588302-04:00,01JVC00R27VQXFZ206QQC04G5M,2025-05-16T03:31:22.494246-04:00,0,2025-05-16T03:31:22.494246-04:00,true,2025-05-16T03:31:22.57241-04:00,Negotiation,2025-05-16T03:31:22.494246-04:00,01JVC02FQPF0ND3KQKTFKWC7CA,2025-05-16T03:31:22.494246-04:00,true,2025-05-16T03:31:22.566379-04:00,true,2025-05-16T03:31:22.575192-04:00,01JVC02FQXTC1B5FXY02A8ER2B,2025-05-16T03:31:22.494246-04:00
01JVC02FR3BEP5RG8PPG5XYQ60,01JVC00R1NFWVNPFH69VHEQFNS,2025-05-16T03:31:22.499107-04:00,120,2025-05-16T03:31:22.499107-04:00,true,2025-05-16T03:35:22.633987-04:00,01JVC00R27VQXFZ206QQC04G5M,2025-05-16T03:31:22.499107-04:00,0,2025-05-16T03:31:22.499107-04:00,true,2025-05-16T03:33:22.617975-04:00,Negotiation,2025-05-16T03:31:22.499107-04:00,01JVC02FQQHCFYV395K44Z8QWZ,2025-05-16T03:31:22.499107-04:00,true,2025-05-16T03:33:22.612438-04:00,true,2025-05-16T03:33:22.622491-04:00,01JVC02FR1KZK7KSJV5EKC1ARW,2025-05-16T03:31:22.499107-04:00
01JVC02FR62VMDMX5E4613RX7A,01JVC00R1NFWVNPFH69VHEQFNS,2025-05-16T03:31:22.502537-04:00,120,2025-05-16T03:31:22.502537-04:00,true,2025-05-16T03:37:22.679528-04:00,01JVC00R27VQXFZ206QQC04G5M,2025-05-16T03:31:22.502537-04:00,0,2025-05-16T03:31:22.502537-04:00,true,2025-05-16T03:35:22.664774-04:00,Negotiation,2025-05-16T03:31:22.502537-04:00,01JVC02FQQHCFYV395JKTK11M2,2025-05-16T03:31:22.502537-04:00,true,2025-05-16T03:35:22.658932-04:00,true,2025-05-16T03:35:22.668929-04:00,01JVC02FR5K7N9N6CPTGFQVF8R,2025-05-16T03:31:22.502537-04:00
01JVC02FR97PVCKM04HKFBK9W4,01JVC00R1NFWVNPFH69VHEQFNS,2025-05-16T03:31:22.505648-04:00,120,2025-05-16T03:31:22.505648-04:00,true,2025-05-16T03:39:22.730393-04:00,01JVC00R27VQXFZ206QQC04G5M,2025-05-16T03:31:22.505648-04:00,0,2025-05-16T03:31:22.505648-04:00,true,2025-05-16T03:37:22.713317-04:00,Negotiation,2025-05-16T03:31:22.505648-04:00,01JVC02FQRGFW65EG2GV6ZCRZG,2025-05-16T03:31:22.505648-04:00,true,2025-05-16T03:37:22.707959-04:00,true,2025-05-16T03:37:22.717792-04:00,01JVC02FR8V5QJX2N9BHGH2EDT,2025-05-16T03:31:22.505648-04:00
01JVC02FRCVDYVNE9CKYGBTGT7,01JVC00R1NFWVNPFH69VHEQFNS,2025-05-16T03:31:22.508846-04:00,120,2025-05-16T03:31:22.508846-04:00,true,2025-05-16T03:41:22.772244-04:00,01JVC00R27VQXFZ206QQC04G5M,2025-05-16T03:31:22.508846-04:00,0,2025-05-16T03:31:22.508846-04:00,true,2025-05-16T03:39:22.764007-04:00,Negotiation,2025-05-16T03:31:22.508846-04:00,01JVC02FQRGFW65EG2HF0HKCAR,2025-05-16T03:31:22.508846-04:00,true,2025-05-16T03:39:22.756456-04:00,true,2025-05-16T03:39:22.768338-04:00,01JVC02FRBD8JYVHJ1YQSM7TJ8,2025-05-16T03:31:22.508846-04:00
01JVC02FRF163QAG5ASR0AKHZ5,01JVC00R1NFWVNPFH69VHEQFNS,2025-05-16T03:31:22.511799-04:00,120,2025-05-16T03:31:22.511799-04:00,true,2025-05-16T03:43:22.814948-04:00,01JVC00R27VQXFZ206QQC04G5M,2025-05-16T03:31:22.511799-04:00,0,2025-05-16T03:31:22.511799-04:00,true,2025-05-16T03:41:22.800983-04:00,Negotiation,2025-05-16T03:31:22.511799-04:00,01JVC02FQT9TXQGEKGK6GWWRST,2025-05-16T03:31:22.511799-04:00,true,2025-05-16T03:41:22.796064-04:00,true,2025-05-16T03:41:22.80429-04:00,01JVC02FRE5KR2H1N1HQHQPGSW,2025-05-16T03:31:22.511799-04:00
